feature 	 assembly
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
gene 	 GCA_000741095.1
CDS 	 GCA_000741095.1
