#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome J","NC_006033.2",1130744,1132984,"-",2889459,,"CAGL0J11638g","XP_448219.1",746,"uncharacterized protein CAGL0J11638g"
"chromosome J","NC_006033.2",1135618,1137852,"+",2889460,,"CAGL0J11660g","XP_448220.1",744,"uncharacterized protein CAGL0J11660g"
"chromosome J","NC_006033.2",1138725,1139204,"+",2889461,,"CAGL0J11682g","XP_448221.1",159,"uncharacterized protein CAGL0J11682g"
"chromosome J","NC_006033.2",1140133,1141662,"+",2889462,,"CAGL0J11704g","XP_448222.1",509,"uncharacterized protein CAGL0J11704g"
"chromosome J","NC_006033.2",1142247,1143257,"+",2889463,,"CAGL0J11726g","XP_448223.1",336,"uncharacterized protein CAGL0J11726g"
"chromosome J","NC_006033.2",1143621,1145708,"-",2889464,,"CAGL0J11748g","XP_448224.1",695,"uncharacterized protein CAGL0J11748g"
"chromosome J","NC_006033.2",1147259,1149238,"-",2889465,,"CAGL0J11770g","XP_448225.1",659,"uncharacterized protein CAGL0J11770g"
"chromosome J","NC_006033.2",1150752,1152284,"-",2889466,,"CAGL0J11792g","XP_448226.1",510,"uncharacterized protein CAGL0J11792g"
"chromosome J","NC_006033.2",1152662,1153477,"-",2889467,,"CAGL0J11814g","XP_448227.1",271,"uncharacterized protein CAGL0J11814g"
"chromosome J","NC_006033.2",1153844,1155829,"-",2889468,,"CAGL0J11836g","XP_448228.1",661,"uncharacterized protein CAGL0J11836g"
"chromosome J","NC_006033.2",1158639,1159754,"+",2889432,,"CAGL0J11858g","XP_448229.1",371,"mitochondrial 54S ribosomal protein RML2"
"chromosome J","NC_006033.2",1160009,1160797,"-",2889433,,"CAGL0J11880g","XP_448230.1",262,"uncharacterized protein CAGL0J11880g"
"chromosome J","NC_006033.2",1161474,1165100,"-",9488026,,"CAGL0J11891g","XP_002999575.1",1208,"uncharacterized protein CAGL0J11891g"
"chromosome J","NC_006033.2",1172919,1175795,"+",2889438,,"CAGL0J11968g","XP_448232.1",958,"uncharacterized protein CAGL0J11968g"
"chromosome K","NC_006034.2",1235695,1240743,"+",2890417,,"CAGL0K12562g","XP_448762.1",1682,"uncharacterized protein CAGL0K12562g"
"chromosome K","NC_006034.2",1240830,1244168,"-",2890418,,"CAGL0K12584g","XP_448763.1",1112,"uncharacterized protein CAGL0K12584g"
"chromosome K","NC_006034.2",1245596,1246573,"+",2890419,,"CAGL0K12606g","XP_448764.1",325,"uncharacterized protein CAGL0K12606g"
"chromosome K","NC_006034.2",1246877,1250857,"-",2890420,,"CAGL0K12628g","XP_448765.1",1326,"uncharacterized protein CAGL0K12628g"
"chromosome K","NC_006034.2",1252736,1254094,"-",2890421,,"CAGL0K12650g","XP_448766.1",452,"uncharacterized protein CAGL0K12650g"
"chromosome K","NC_006034.2",1256370,1256990,"+",2890422,,"CAGL0K12672g","XP_448767.1",206,"uncharacterized protein CAGL0K12672g"
"chromosome K","NC_006034.2",1258451,1260457,"+",2890423,,"CAGL0K12694g","XP_448768.2",375,"uncharacterized protein CAGL0K12694g"
"chromosome K","NC_006034.2",1260998,1262452,"-",2890424,,"CAGL0K12716g","XP_448769.1",484,"uncharacterized protein CAGL0K12716g"
"chromosome K","NC_006034.2",1262741,1264606,"-",2890425,,"CAGL0K12738g","XP_448770.1",621,"uncharacterized protein CAGL0K12738g"
"chromosome K","NC_006034.2",1265863,1267989,"+",2890426,,"CAGL0K12760g","XP_448771.1",708,"uncharacterized protein CAGL0K12760g"
"chromosome K","NC_006034.2",1268294,1269226,"+",2890427,,"CAGL0K12782g","XP_448772.1",310,"uncharacterized protein CAGL0K12782g"
"chromosome K","NC_006034.2",1269506,1270024,"-",2890428,,"CAGL0K12804g","XP_448773.1",172,"uncharacterized protein CAGL0K12804g"
"chromosome K","NC_006034.2",1270892,1271557,"+",2890429,,"CAGL0K12826g","XP_448774.1",221,"60S ribosomal protein L10"
"chromosome K","NC_006034.2",1272625,1273392,"+",2890430,,"CAGL0K12848g","XP_448775.1",255,"uncharacterized protein CAGL0K12848g"
"chromosome K","NC_006034.2",1273806,1274423,"-",2890120,,"CAGL0K12870g","XP_448776.1",205,"uncharacterized protein CAGL0K12870g"
"chromosome K","NC_006034.2",1274914,1277127,"-",2890121,,"CAGL0K12892g","XP_448777.1",737,"uncharacterized protein CAGL0K12892g"
"chromosome K","NC_006034.2",1277987,1279273,"+",2890122,,"CAGL0K12914g","XP_448778.1",428,"uncharacterized protein CAGL0K12914g"
"chromosome K","NC_006034.2",1279321,1281027,"-",2890123,,"CAGL0K12936g","XP_448779.1",568,"uncharacterized protein CAGL0K12936g"
"chromosome K","NC_006034.2",1281709,1282797,"-",2890124,,"CAGL0K12958g","XP_448780.1",362,"uncharacterized protein CAGL0K12958g"
"chromosome K","NC_006034.2",1283966,1286134,"-",2890125,,"CAGL0K12980g","XP_448781.1",722,"uncharacterized protein CAGL0K12980g"
"chromosome K","NC_006034.2",1291683,1294496,"+",2890126,,"CAGL0K13002g","XP_448782.1",937,"uncharacterized protein CAGL0K13002g"
"chromosome K","NC_006034.2",1297775,1301002,"+",2890127,,"CAGL0K13024g","XP_448783.1",1075,"uncharacterized protein CAGL0K13024g"
"chromosome A","NC_005967.2",18037,18876,"-",2886422,,"CAGL0A00165g","XP_444779.1",279,"uncharacterized protein CAGL0A00165g"
"chromosome A","NC_005967.2",19487,21757,"-",2886420,,"CAGL0A00187g","XP_444780.1",756,"uncharacterized protein CAGL0A00187g"
"chromosome A","NC_005967.2",22260,24440,"+",2886291,,"CAGL0A00209g","XP_444781.1",726,"uncharacterized protein CAGL0A00209g"
"chromosome A","NC_005967.2",25241,27622,"+",2886428,,"CAGL0A00231g","XP_444782.1",793,"uncharacterized protein CAGL0A00231g"
"chromosome A","NC_005967.2",27915,28586,"-",2886439,,"CAGL0A00253g","XP_444783.1",223,"uncharacterized protein CAGL0A00253g"
"chromosome A","NC_005967.2",29069,29869,"+",2886490,,"CAGL0A00275g","XP_444784.1",266,"uncharacterized protein CAGL0A00275g"
"chromosome A","NC_005967.2",30179,30775,"-",2886456,,"CAGL0A00297g","XP_444785.1",198,"uncharacterized protein CAGL0A00297g"
"chromosome A","NC_005967.2",30978,32507,"+",2886383,,"CAGL0A00319g","XP_444786.1",509,"uncharacterized protein CAGL0A00319g"
"chromosome A","NC_005967.2",33056,33625,"+",2886489,,"CAGL0A00341g","XP_444787.1",189,"uncharacterized protein CAGL0A00341g"
"chromosome A","NC_005967.2",33995,36349,"-",2886491,,"CAGL0A00363g","XP_444788.1",784,"uncharacterized protein CAGL0A00363g"
"chromosome A","NC_005967.2",37162,40371,"-",2886283,,"CAGL0A00385g","XP_444789.1",1069,"uncharacterized protein CAGL0A00385g"
"chromosome A","NC_005967.2",41556,42320,"+",2886460,,"CAGL0A00407g","XP_444790.1",254,"uncharacterized protein CAGL0A00407g"
"chromosome A","NC_005967.2",42636,44030,"-",2886295,,"CAGL0A00429g","XP_444791.1",464,"uncharacterized protein CAGL0A00429g"
"chromosome A","NC_005967.2",47557,50880,"+",2886430,,"CAGL0A00451g","XP_444792.1",1107,"uncharacterized protein CAGL0A00451g"
"chromosome A","NC_005967.2",51137,53497,"-",2886492,,"CAGL0A00473g","XP_444793.1",786,"uncharacterized protein CAGL0A00473g"
"chromosome A","NC_005967.2",55014,57722,"-",2886465,,"CAGL0A00495g","XP_444794.1",902,"uncharacterized protein CAGL0A00495g"
"chromosome A","NC_005967.2",58830,62198,"+",2886322,,"CAGL0A00517g","XP_444795.1",1122,"uncharacterized protein CAGL0A00517g"
"chromosome A","NC_005967.2",62416,63225,"-",2886286,,"CAGL0A00539g","XP_444796.1",269,"uncharacterized protein CAGL0A00539g"
"chromosome A","NC_005967.2",63710,64948,"-",2886437,,"CAGL0A00561g","XP_444797.1",412,"uncharacterized protein CAGL0A00561g"
"chromosome A","NC_005967.2",65286,67226,"+",2886414,,"CAGL0A00583g","XP_444798.1",646,"uncharacterized protein CAGL0A00583g"
"chromosome A","NC_005967.2",67281,69203,"-",2886426,,"CAGL0A00605g","XP_444799.1",640,"uncharacterized protein CAGL0A00605g"
"chromosome A","NC_005967.2",69832,70485,"+",2886313,,"CAGL0A00627g","XP_444800.1",217,"uncharacterized protein CAGL0A00627g"
